ESCOLA,SÉRIE,DATADEINÍCIO,IDADE,SEXO,RELIGIÃO,RAÇA,CORDEPELE,BEMCONSIGOMESMO,ACREDITOEMSORTEMAISDOQUETRABALHO,ALGOMEIMPEDEDECONQUISTARASCOISAS,PLANOSSEMPREDÃOERRADO,INÚTIL,ACREDITONOSMEUSPLANOS,INCLUSÃODEPORTADORESDEDEFICIÊNCIAEMSALASCOMUNS,FILHALÉSBICA,TANTOFAZBRANCOSOUNEGROS,IMPORTANTEESCOLASESPECIAISPARAPORTADORESDEDEFICIÊNCIA,GAYSREVEJAMSUAOPÇÃO,BRANCOSMAISDISCIPLINADOS,ALGUNSGRUPOSTEMMAISVALOR,USARFORÇACONTRAOUTROS,TANTOFAZAMIGOSBRANCOSENEGROS,NORMALUMGRUPOTERMAISOPORTUNIDADE,GRUPOSSUPERIORESDEVEMCONDUZIR,PAISENCORAJADORES,PAISAPOIAMATIVIDADESEXTERNAS,PAISQUEOUVEM,PAISORGULHOSOS,PAISQUEAJUDAMATOMARDECISÕES,SATISFEITOCOMSITUAÇÃOFINANCEIRA,FREQUENCIASEMCOMIDA,FREQUENCIADESENTIREMINSEGUROS,FREQUENCIASEMREMEDIO,FREQUENCIASEMDINHEIRO,CRIMENAESCOLA,BULLYINGNAESCOLA,AMEAÇASNAESCOLA,ALUNOSGOSTAMDEDIMINUIROSOUTROS,ALUNOSSEAJUDAMAAPRENDER,ALUNOSNÃOSEDÃOBEM,ALUNOSSETRATAMCOMRESPEITO,MEDODESOFRERBULLYINGNAESCOLA,MEDODESOFRERBULLYINGNAINTERNET,SEMPREESTUDO,FAÇOBEMMINHALIÇÃO,PREFIROESTUDARASAIRCOMAMIGOS,GRUPOSINFERIORESPERMANCEMNOSEULUGAR,GRUPOSDEVEMTERMESMAOPORTUNIDADE,AUMENTARIGUALDADESOCIAL,SALÁRIOSMAISIGUAIS,BRIGAENTREALUNOS,DESORDEMNASSALAS,DESRESPEITOCOMPROFESSOR,AMEAÇAAPROFESSORES,ROUBOSNAESCOLA,ALUNOSCOMBEBIDA,ALUNOSCOMDROGAS,ALUNOSFAZEMBULLYING,RESPEITOAOSPROFESSORES,SEGURANÇACOMPROFESSORES,PROFESSORESRESPEITOSOS,GAYSSEMVALORES,DEFICIÊNCIASEPARADA,NEGROSCOMOBRANCOS,CHEFEGAY,GAYSTRANSIMITEMIDEIASDIFERENTES,NEGROSMENOSTRABALHADORES,ROUBONOBAIRRO,BEBIDANOBAIRRO,INTERFERENCIAMILITARNOBAIRRO,COMPORTAMENTORACISTANOBAIRRO,VENDADEDROGASNOBAIRRO,AUTORIDADEÉVIRTUDE,HOMENSSÃOFRACOSOUFORTES,FALEMENOSETRABALHEMAIS,CASTIGARINSULTOS,SEMPREHAVERÁGUERRAS,DISCIPLINAFIRME,PENADEMORTE,PAI,PADRASTO,PAIADOTIVO,MÃE,MADRASTA,MÃEADOTIVA,IRMÃO,IRMÃ,AVÓ,MEUCONJUGE,MEUFILHO,OUTROSPARENTES,PESSOASQUENÃOSÃOPARENTES,HORASNAINTERNETPARAESTUDAR,HORASNAINTERNETPARACOMUNICAÇÃO,HORASNAINTERNETPARAJOGAR,HORASNATELEVISÃO
3,EM 2,09/18/2015,12,Masculino,Evangélica,Moreno,11,2,1,3,3,4,2,3,2,4,4,3,1,1,3,4,1,1,4,4,3,3,4,4,1,1,1,1,4,3,4,4,2,4,2,3,4,2,3,4,1,4,4,4,3,3,2,1,1,1,2,3,3,2,1,4,2,1,4,4,1,1,3,1,3,1,4,1,4,4,2,4,3,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4,7,5,7
3,EM 2,09/21/2015,12,Feminino,Evangélica,Moreno,12,4,1,2,1,1,3,4,3,4,4,3,3,1,2,4,3,1,4,3,4,4,4,9,1,2,1,1,4,3,4,4,4,3,2,2,1,4,4,1,2,4,4,4,3,3,2,1,2,1,1,3,4,4,3,1,2,3,4,3,3,2,4,2,3,4,4,1,3,2,3,4,2,1,0,0,1,0,0,2,2,2,0,0,0,0,4,7,4,7
3,EM 2,09/21/2015,12,Feminino,Católica,Branco,5,3,2,2,1,2,3,4,3,4,4,3,1,1,1,4,3,3,4,4,3,4,4,8,1,2,1,1,2,1,2,2,3,2,3,1,1,4,3,4,2,4,3,3,1,3,1,1,2,1,1,1,4,4,3,3,1,2,3,3,1,1,2,1,1,1,4,1,3,2,3,4,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4,4,6,6
3,EM 2,09/21/2015,12,Feminino,Católica,Moreno,9,3,2,2,3,2,3,3,2,4,3,2,1,1,3,4,3,2,4,3,2,4,3,5,1,2,2,2,3,2,3,2,3,2,3,2,2,3,3,2,3,4,3,4,2,3,2,1,2,1,2,2,3,2,3,2,1,2,3,2,1,2,4,2,1,2,3,1,3,2,3,3,3,1,0,0,1,0,0,1,0,0,0,0,0,0,7,5,6,2
3,EM 2,09/21/2015,12,Feminino,Católica,Moreno,10,3,2,3,2,2,3,3,3,4,3,3,2,2,3,4,3,3,3,4,3,4,3,8,1,1,2,2,2,3,2,3,4,3,2,2,1,3,4,2,2,3,2,3,2,3,2,1,2,1,1,2,4,3,4,2,1,1,4,2,1,3,4,3,3,3,3,1,3,1,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,4,2,2,5
3,EM 2,09/21/2015,12,Feminino,Católica,Moreno,7,3,3,2,2,1,3,3,3,3,3,2,2,2,2,3,2,2,4,4,3,4,4,8,1,2,1,2,3,2,2,2,2,3,3,2,2,3,3,2,2,3,3,3,2,3,2,1,1,1,1,1,3,3,3,3,2,2,3,2,2,1,2,1,1,2,3,2,2,2,3,2,3,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,5,7,4,7
3,EM 2,09/21/2015,12,Masculino,Católica,Moreno,8,4,2,3,3,3,3,2,3,4,4,2,1,3,4,4,1,3,4,4,4,4,4,1,1,1,1,2,3,1,2,4,1,4,2,1,1,4,4,2,1,4,4,4,3,3,2,1,1,1,1,3,4,2,4,1,1,1,1,1,1,1,3,1,2,1,4,1,4,4,4,4,4,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,7,7
3,EM 2,09/21/2015,13,Masculino,Evangélica,Moreno,10,4,1,2,1,1,3,4,3,4,4,3,1,2,1,4,3,4,4,4,4,3,3,9,1,1,1,2,3,3,3,3,3,2,2,1,2,3,3,2,4,4,4,4,2,3,2,1,3,1,1,3,4,3,2,2,2,4,3,3,1,2,2,4,2,1,4,1,4,3,3,4,4,1,0,0,1,0,0,0,0,2,0,0,0,0,5,5,4,6
3,EM 2,09/21/2015,14,Masculino,Católica,Amarelo,8,4,3,1,3,2,4,4,3,4,4,3,1,2,2,4,1,2,4,4,4,4,3,10,1,1,1,1,1,1,1,1,4,1,4,1,1,4,4,4,2,4,4,4,1,1,1,1,1,1,1,1,4,4,4,1,3,4,4,1,1,2,2,1,1,1,3,1,3,1,1,4,1,2,0,0,2,0,0,2,2,2,0,0,0,0,5,7,2,7
3,EM 2,09/21/2015,13,Feminino,Católica,Moreno,11,3,4,3,4,3,4,3,2,3,3,1,1,1,3,3,3,1,4,4,3,4,4,10,1,1,1,1,2,2,2,1,4,3,4,1,2,4,3,4,2,4,4,3,1,2,1,1,2,1,1,1,4,3,4,3,1,1,4,2,1,1,2,1,1,1,3,2,2,1,2,4,3,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,5,6,5,4
3,EM 2,09/21/2015,12,Masculino,Católica,Branco,3,4,2,1,2,1,4,4,1,4,4,3,1,3,3,4,3,2,4,4,3,4,4,10,1,1,2,1,3,2,1,2,3,2,3,1,1,4,3,3,2,3,3,4,3,3,1,1,2,1,1,2,3,3,3,3,2,1,3,3,1,1,2,2,1,1,4,1,2,1,2,3,2,1,0,0,1,0,0,0,1,2,0,0,50,20,5,5,5,7
3,EM 2,09/17/2015,13,Feminino,Católica,Branco,2,4,4,3,3,2,3,4,4,4,4,1,1,2,4,4,3,4,4,4,4,4,4,8,1,1,1,1,4,4,4,4,3,4,2,4,2,2,4,4,2,4,4,4,3,4,4,1,1,1,4,4,4,1,4,1,1,1,4,1,4,2,2,1,1,1,4,1,2,4,2,2,4,1,NA,NA,1,NA,NA,2,2,4,NA,NA,17,NA,2,7,7,4
3,EM 2,09/21/2015,12,Masculino,Evangélica,Moreno,6,4,1,2,2,2,3,4,3,4,4,2,1,1,1,4,3,2,4,4,4,4,4,8,1,1,1,2,3,4,2,2,2,3,3,1,1,3,4,3,1,4,4,4,2,3,2,1,2,1,1,3,3,3,3,2,4,4,4,3,1,2,4,1,1,1,3,2,2,1,3,3,2,NA,NA,NA,1,NA,NA,1,NA,2,NA,NA,NA,NA,5,5,6,4
3,EM 2,09/21/2015,13,Feminino,Católica,Negro,9,3,3,3,4,2,4,4,3,4,3,2,1,2,2,4,2,3,4,2,4,2,3,7,1,1,3,1,3,3,3,3,3,3,2,3,1,2,3,2,2,4,3,3,2,3,1,1,1,1,1,2,3,3,3,2,2,3,3,2,2,1,1,1,1,1,3,1,3,2,1,3,1,0,0,0,1,0,0,0,0,2,0,0,1,0,4,6,6,7
3,EM 2,09/21/2015,12,Feminino,Evangélica,Amarelo,6,4,1,2,2,2,3,4,1,4,3,4,3,3,2,4,1,4,4,4,4,4,4,10,1,1,1,1,3,4,3,3,3,3,2,1,1,4,4,4,2,2,4,3,2,4,3,1,1,1,1,2,3,3,2,2,1,2,3,2,2,1,1,2,1,1,4,1,4,2,3,4,3,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,7,7,6,7
3,EM 2,09/21/2015,12,Feminino,Evangélica,Moreno,9,3,3,2,2,2,4,1,2,1,1,1,1,2,1,1,1,1,4,4,4,3,4,8,1,1,1,1,2,3,3,3,2,2,2,1,1,2,2,2,2,3,3,3,2,4,3,2,1,3,2,2,3,3,3,2,2,2,3,2,2,2,3,1,1,1,1,2,2,3,3,3,3,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,7,4,6
3,EM 2,09/21/2015,13,Feminino,Católica,Branco,1,2,3,4,3,3,2,3,4,4,4,2,3,2,3,4,1,1,2,1,1,1,1,5,2,1,2,2,2,4,3,4,2,4,1,2,1,2,3,2,1,4,3,4,3,4,3,2,3,3,3,4,3,3,2,2,2,2,3,1,2,2,3,1,2,3,4,2,1,3,3,3,3,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4,7,7,6
